Stiklo tipas:;Gravera kaina (eu):;Maristika kaina (eu);Kraðtiniø apdirbimo tipas:;Kraðtiniø apdirbimo kaina (Gravera);Kraðtiniø apdirbimo kaina (Maristika)
4mm skaidrus (grûdintas);12;11,95;"Bukintas;Ðlifuota;Poliruota";"0.20;0.51;0.73";"0.16;0.35;0.58"
5mm skaidrus (grûdintas);15,65;15,55;"Bukintas;Ðlifuota;Poliruota";"0.24;0.54;0.8";"0.19;0.41;0.64"
6mm skaidrus (grûdintas);18,85;18,7;"Bukintas;Ðlifuota;Poliruota";"0.25;0.61;0.96";"0.2;0.52;0.72"
8mm skaidrus (grûdintas);29;28,8;"Bukintas;Ðlifuota;Poliruota";"0.29;1.01;1.63";"0.23;1.04;1.33"
10mm skaidrus (grûdintas);38,45;38,25;"Bukintas;Ðlifuota;Poliruota";"0.4;1.45;2.1";"0.32;1.391.68"
12mm skaidrus (grûdintas);53,43;52,8;"Bukintas;Ðlifuota;Poliruota";"0.6;2.18;2.71";"1.88;1.88;2.17"
4mm  tonuotas(grûdintas);17,91;17,8;"Bukintas;Ðlifuota;Poliruota";"0.20;0.51;0.73";"0.16;0.35;0.58"
5mm  tonuotas (grûdintas);22,9;22,9;"Bukintas;Ðlifuota;Poliruota";"0.24;0.54;0.8";"0.19;0.41;0.64"
6mm  tonuotas (grûdintas);27,52;27,5;"Bukintas;Ðlifuota;Poliruota";"0.25;0.61;0.96";"0.2;0.52;0.72"
8mm  tonuotas (grûdintas);38,72;38,75;"Bukintas;Ðlifuota;Poliruota";"0.29;1.01;1.63";"0.23;1.04;1.33"
10mm  tonuotas (grûdintas);48,79;48,8;"Bukintas;Ðlifuota;Poliruota";"0.4;1.45;2.1";"0.32;1.391.68"
Skaidrus stiklas(3.3.1st 1 negrûdintas);24;24,00;"Bukintas;Ðlifuota;Poliruota";"0;0;0";"0;0;0"
Skaidrus stiklas (4.4.2st 2 GR) grûdintas;N;42,00;"Bukintas;Ðlifuota;Poliruota";"0;0;0";"0;0;0"
Pilkai tonuotas, stiklas(4.4.2st 2pilk) grûdintas;N;61,00;"Bukintas;Ðlifuota;Poliruota";"0;0;0";"0;0;0"
Rudai tonuotas, stiklas(4.4.2st 2rud) grûdintas;N;61,00;"Bukintas;Ðlifuota;Poliruota";"0;0;0";"0;0;0"
Skaidrus stiklas, su mat plëvele(4.4.2st 2mat)  grûdintas;N;55,00;"Bukintas;Ðlifuota;Poliruota";"0;0;0";"0;0;0"
Skaidrus stiklas (5.5.2st 2) grûdintas;N;49,00;"Bukintas;Ðlifuota;Poliruota";"0;0;0";"0;0;0"
Skaidrus stiklas, su mat plëvele(5.5.2st 2 mat)  grûdintas;N;60,00;"Bukintas;Ðlifuota;Poliruota";"0;0;0";"0;0;0"
Pilkai tonuotas,  stiklas(5.5.2st 2 pilk) grûdintas;N;71,00;"Bukintas;Ðlifuota;Poliruota";"0;0;0";"0;0;0"
Rudai tonuotas,  stiklas(5.5.2st 2 rud) grûdintas;N;71,00;"Bukintas;Ðlifuota;Poliruota";"0;0;0";"0;0;0"
Skaidrus stiklas (6.6.2st 2)  grûdintas;N;55,00;"Bukintas;Ðlifuota;Poliruota";"0;0;0";"0;0;0"
Pilkai tonuotas,  stiklas(6.6.2st 2pilk) grûdintas;N;80,00;"Bukintas;Ðlifuota;Poliruota";"0;0;0";"0;0;0"
Rudai tonuotas,  stiklas(6.6.2st 2rud) grûdintas;N;80,00;"Bukintas;Ðlifuota;Poliruota";"0;0;0";"0;0;0"
Skaidrus stiklas,  su mat plëvele(6.6.2st 2mat) grûdintas;N;62,00;"Bukintas;Ðlifuota;Poliruota";"0;0;0";"0;0;0"
 Matinis, (Matinis 4mm gr) grûdintas;20,98;19,70;"Bukintas;Ðlifuota;Poliruota";"0;0;0";"0;0;0"
 Matinis, (Matinis 6mm ) grûdintas;27,85;27,60;"Bukintas;Ðlifuota;Poliruota";"0;0;0";"0;0;0"
 Matinis, (Matinis 8mm ) grûdintas;37,69;37,75;"Bukintas;Ðlifuota;Poliruota";"0;0;0";"0;0;0"
 Matinis, (Matinis 10mm ) grûdintas;50,9;51,50;"Bukintas;Ðlifuota;Poliruota";"0;0;0";"0;0;0"
4mm tonuotas  Dark GREY (grûdintas);26,41;;"Bukintas;Ðlifuota;Poliruota";"0;0;0";"0;0;0"
6mm tonuotas Dark GREY (grûdintas);N;36,5;"Bukintas;Ðlifuota;Poliruota";"0;0;0";"0;0;0"
8mm tonuotas Dark GREY (grûdintas);52;52,65;"Bukintas;Ðlifuota;Poliruota";"0;0;0";"0;0;0"
4  skaidrus (negrûdintas);11,17;9;"Bukintas;Ðlifuota;Poliruota";"0.20;0.51;0.73";"0.16;0.35;0.58"
5  skaidrus (negrûdintas);13,95;N;"Bukintas;Ðlifuota;Poliruota";"0.24;0.54;0.8";"0.19;0.41;0.64"
6  skaidrus (negrûdintas);16,74;N;"Bukintas;Ðlifuota;Poliruota";"0.25;0.61;0.96";"0.2;0.52;0.72"
8  skaidrus (negrûdintas);22,52;N;"Bukintas;Ðlifuota;Poliruota";"0.29;1.01;1.63";"0.23;1.04;1.33"
10  skaidrus (negrûdintas);28,63;N;"Bukintas;Ðlifuota;Poliruota";"0.4;1.45;2.1";"0.32;1.391.68"
12  skaidrus (negrûdintas);39,82;N;"Bukintas;Ðlifuota;Poliruota";"2.18;2.18;2.71";"1.88;1.88;2.17"
4mm tonuotas (negrûdintas);16,09;16,7;"Bukintas;Ðlifuota;Poliruota";"0.20;0.51;0.73";"0.16;0.35;0.58"
5mm tonuotas (negrûdintas);20,44;21,2;"Bukintas;Ðlifuota;Poliruota";"0.24;0.54;0.8";"0.19;0.41;0.64"
6mm tonuotas (negrûdintas);24,48;N;"Bukintas;Ðlifuota;Poliruota";"0.25;0.61;0.96";"0.2;0.52;0.72"
8mm tonuotas (negrûdintas);33,56;N;"Bukintas;Ðlifuota;Poliruota";"0.29;1.01;1.63";"0.23;1.04;1.33"
10mm tonuotas (negrûdintas);42,29;N;"Bukintas;Ðlifuota;Poliruota";"0.4;1.45;2.1";"0.32;1.391.68"
